driver_id,name,nationality,team,age
1,Driver_1,Italian,Ferrari,36
2,Driver_2,Italian,McLaren,31
3,Driver_3,Dutch,Williams,33
4,Driver_4,Italian,Ferrari,32
5,Driver_5,French,McLaren,30
6,Driver_6,Dutch,Alpine,22
7,Driver_7,British,Alpine,35
8,Driver_8,Italian,Williams,35
9,Driver_9,British,Williams,30
10,Driver_10,French,AstonMartin,23
11,Driver_11,Dutch,Ferrari,21
12,Driver_12,Italian,Ferrari,40
13,Driver_13,Italian,RedBull,22
14,Driver_14,Spanish,AstonMartin,20
15,Driver_15,German,Mercedes,39
16,Driver_16,British,McLaren,36
17,Driver_17,British,Alpine,29
18,Driver_18,Spanish,Williams,27
19,Driver_19,Spanish,Williams,25
20,Driver_20,Dutch,AlphaTauri,23
