driver_id,name,nationality,team,age
1,Driver_1,French,AstonMartin,23
2,Driver_2,Italian,Ferrari,24
3,Driver_3,German,RedBull,21
4,Driver_4,French,Mercedes,20
5,Driver_5,German,RedBull,21
6,Driver_6,Spanish,Alpine,39
7,Driver_7,Spanish,RedBull,27
8,Driver_8,Italian,McLaren,29
9,Driver_9,Spanish,AstonMartin,23
10,Driver_10,Italian,McLaren,22
11,Driver_11,Spanish,Alpine,33
12,Driver_12,German,McLaren,20
13,Driver_13,Spanish,Alpine,38
14,Driver_14,Dutch,Alpine,38
15,Driver_15,Italian,Mercedes,40
16,Driver_16,Italian,Alpine,27
17,Driver_17,Dutch,Mercedes,24
18,Driver_18,British,RedBull,39
19,Driver_19,Spanish,McLaren,38
20,Driver_20,French,Williams,29
