lap_id,driver_id,team,speed,sector_1,sector_2,sector_3,season,round
4,11,Alpine,339.81,39.16,39.76,24.57,2022,23
5,10,McLaren,314.86,38.26,44.51,27.01,2022,7
10,10,McLaren,282.61,27.97,39.88,29.65,2022,10
11,2,Ferrari,331.03,26.14,41.62,30.72,2022,13
12,4,Mercedes,288.96,27.77,39.42,26.29,2022,5
13,19,McLaren,315.61,39.45,31.16,24.83,2022,8
19,3,RedBull,303.67,38.43,39.42,29.17,2022,15
25,2,Ferrari,284.1,39.05,30.45,29.87,2022,5
39,15,Mercedes,283.22,28.2,36.95,29.42,2022,18
40,18,RedBull,336.49,35.78,39.91,21.37,2022,1
41,1,AstonMartin,290.29,38.6,31.3,30.27,2022,13
45,3,RedBull,338.81,39.15,36.14,29.33,2022,3
49,20,Williams,306.57,29.46,42.7,27.95,2022,1
57,19,McLaren,333.03,25.82,42.54,24.93,2022,16
59,6,Alpine,318.67,33.09,40.69,28.79,2022,9
69,12,McLaren,335.78,39.45,31.64,25.06,2022,3
72,20,Williams,285.41,32.78,36.36,23.5,2022,17
74,13,Alpine,327.37,27.42,31.22,31.93,2022,6
75,5,RedBull,296.8,25.12,34.93,28.47,2022,3
76,14,Alpine,304.18,37.41,39.87,24.21,2022,19
78,15,Mercedes,288.94,38.0,30.53,25.33,2022,22
83,8,McLaren,320.33,28.26,30.33,31.39,2022,1
88,20,Williams,339.97,35.78,32.2,20.94,2022,7
90,8,McLaren,336.99,33.53,36.45,20.9,2022,7
92,6,Alpine,313.1,25.0,36.65,22.9,2022,10
99,14,Alpine,300.04,32.57,38.81,33.95,2022,8
108,4,Mercedes,317.8,35.15,38.22,22.08,2022,5
110,20,Williams,341.1,34.89,42.12,34.91,2022,23
111,20,Williams,344.31,37.34,42.75,30.16,2022,3
113,12,McLaren,312.32,33.21,35.92,24.45,2022,11
115,9,AstonMartin,284.57,33.09,41.21,27.25,2022,14
117,3,RedBull,285.82,39.44,42.45,34.23,2022,9
118,7,RedBull,308.68,36.49,44.13,20.1,2022,13
123,7,RedBull,288.98,35.91,31.34,31.89,2022,23
130,7,RedBull,301.97,25.07,35.51,30.55,2022,16
131,5,RedBull,280.18,39.75,41.94,27.37,2022,20
133,18,RedBull,303.64,37.24,37.61,22.35,2022,6
142,8,McLaren,340.09,30.05,33.41,29.76,2022,2
146,12,McLaren,320.08,39.39,34.03,29.25,2022,13
150,17,Mercedes,320.61,30.89,38.13,34.89,2022,18
155,1,AstonMartin,313.37,39.14,37.03,27.27,2022,18
157,6,Alpine,283.3,28.77,38.0,32.16,2022,19
161,18,RedBull,339.34,39.44,34.53,33.27,2022,3
162,16,Alpine,307.56,27.93,32.93,30.91,2022,16
164,11,Alpine,290.27,39.93,43.39,27.25,2022,15
190,12,McLaren,292.23,35.61,35.06,29.07,2022,18
195,13,Alpine,330.26,25.61,31.08,20.11,2022,18
197,7,RedBull,295.83,38.37,35.76,30.07,2022,16
198,11,Alpine,314.27,34.56,38.24,22.22,2022,8
199,8,McLaren,320.05,26.42,34.13,27.82,2022,12
200,11,Alpine,343.17,32.37,37.08,20.37,2022,19
203,5,RedBull,286.36,36.14,37.14,27.67,2022,4
205,13,Alpine,298.52,26.26,43.51,26.13,2022,6
206,18,RedBull,323.65,34.88,33.58,29.66,2022,16
211,13,Alpine,328.42,37.03,37.58,27.58,2022,14
222,10,McLaren,309.34,29.3,32.01,21.24,2022,15
223,3,RedBull,318.48,30.1,43.39,32.85,2022,24
224,12,McLaren,320.85,32.25,34.85,23.55,2022,20
228,13,Alpine,282.39,35.09,31.05,26.01,2022,18
230,6,Alpine,343.32,28.53,30.45,30.89,2022,2
232,20,Williams,297.73,34.39,42.1,33.53,2022,20
239,17,Mercedes,312.95,35.43,42.74,23.72,2022,21
248,19,McLaren,301.87,28.54,40.92,24.19,2022,7
254,5,RedBull,283.82,32.91,45.0,34.29,2022,7
258,8,McLaren,304.81,26.36,43.08,30.73,2022,19
261,12,McLaren,318.35,28.87,30.31,20.08,2022,19
263,8,McLaren,299.01,26.4,30.31,31.89,2022,1
267,5,RedBull,285.26,34.38,35.58,28.14,2022,21
273,10,McLaren,295.25,36.2,42.62,26.03,2022,21
275,10,McLaren,284.16,25.98,42.96,33.83,2022,24
278,10,McLaren,329.48,39.15,36.89,28.16,2022,3
285,9,AstonMartin,294.2,36.27,31.01,20.34,2022,11
288,4,Mercedes,309.68,34.62,32.4,33.05,2022,5
290,2,Ferrari,342.73,26.15,35.3,26.26,2022,7
313,10,McLaren,310.37,28.36,30.53,23.64,2022,5
314,10,McLaren,344.89,28.78,32.41,32.79,2022,3
316,19,McLaren,295.97,37.09,33.82,22.86,2022,6
317,12,McLaren,288.31,38.94,40.75,32.59,2022,2
320,2,Ferrari,305.58,39.37,38.34,25.69,2022,6
322,13,Alpine,317.64,39.63,33.04,23.01,2022,1
324,9,AstonMartin,341.21,38.53,31.16,23.0,2022,16
326,20,Williams,326.13,38.62,34.28,26.66,2022,21
329,1,AstonMartin,304.9,38.1,44.46,33.9,2022,11
330,15,Mercedes,287.89,38.21,43.6,30.04,2022,10
332,6,Alpine,335.61,30.66,31.85,30.04,2022,8
333,1,AstonMartin,312.5,38.49,39.92,20.29,2022,19
334,4,Mercedes,317.6,36.41,41.73,31.57,2022,11
339,3,RedBull,280.74,31.81,42.6,33.17,2022,19
341,19,McLaren,280.7,36.58,34.77,22.28,2022,21
344,20,Williams,330.12,38.52,33.31,23.51,2022,18
350,10,McLaren,339.47,27.24,39.12,22.56,2022,20
353,13,Alpine,331.32,34.85,41.71,20.85,2022,22
358,18,RedBull,288.5,29.41,44.91,32.46,2022,1
365,13,Alpine,299.07,26.95,43.92,34.49,2022,13
367,9,AstonMartin,340.57,37.47,38.4,32.52,2022,3
368,14,Alpine,315.67,39.13,38.06,22.18,2022,3
370,16,Alpine,281.52,32.98,33.42,34.45,2022,17
375,5,RedBull,294.04,29.07,41.52,27.12,2022,9
382,5,RedBull,331.66,39.69,38.37,23.33,2022,5
385,20,Williams,330.44,39.31,33.04,21.62,2022,12
401,3,RedBull,341.17,38.35,38.75,33.94,2022,18
408,9,AstonMartin,331.49,28.7,31.16,25.27,2022,13
411,2,Ferrari,310.56,27.2,31.28,26.78,2022,15
414,17,Mercedes,280.31,37.59,35.03,32.17,2022,5
415,7,RedBull,318.37,39.41,36.87,32.32,2022,7
417,3,RedBull,325.18,29.5,36.73,20.99,2022,14
427,5,RedBull,291.7,29.55,42.93,20.09,2022,2
430,12,McLaren,315.72,25.59,36.74,27.14,2022,18
432,5,RedBull,325.97,33.55,39.21,25.98,2022,17
435,20,Williams,313.72,31.61,42.57,34.83,2022,23
439,1,AstonMartin,344.09,35.28,41.57,27.92,2022,14
440,17,Mercedes,296.66,30.01,44.63,23.34,2022,13
443,17,Mercedes,287.73,38.66,44.77,25.63,2022,17
445,5,RedBull,327.3,35.01,40.04,25.46,2022,6
454,13,Alpine,313.88,27.63,33.06,29.24,2022,20
456,5,RedBull,328.9,35.06,38.39,23.5,2022,13
458,11,Alpine,344.22,26.72,42.34,33.75,2022,22
459,18,RedBull,295.09,35.74,39.47,31.8,2022,24
467,3,RedBull,291.24,26.57,32.63,25.88,2022,18
470,11,Alpine,334.16,34.15,31.84,22.54,2022,13
471,16,Alpine,324.2,35.86,41.76,34.05,2022,21
475,17,Mercedes,333.49,36.09,41.06,26.43,2022,14
476,13,Alpine,293.34,31.31,33.91,27.29,2022,19
481,7,RedBull,281.88,38.11,40.12,21.25,2022,21
490,16,Alpine,294.57,25.35,30.95,34.19,2022,23
492,9,AstonMartin,315.79,38.55,43.46,29.69,2022,9
496,3,RedBull,307.99,37.56,33.32,30.18,2022,1
3,5,RedBull,316.62,29.93,30.78,32.35,2023,6
6,12,McLaren,337.47,26.86,36.9,20.21,2023,18
8,7,RedBull,284.82,34.45,37.97,21.05,2023,16
15,6,Alpine,337.18,32.59,37.99,22.82,2023,4
20,10,McLaren,343.42,27.24,42.4,23.77,2023,23
21,15,Mercedes,325.96,37.22,43.71,27.61,2023,22
23,7,RedBull,332.51,35.18,38.07,27.06,2023,11
24,3,RedBull,320.62,39.31,37.95,23.6,2023,13
26,9,AstonMartin,297.21,26.35,36.13,30.38,2023,7
30,6,Alpine,296.56,29.39,32.64,31.18,2023,1
31,8,McLaren,305.65,36.22,41.51,29.88,2023,24
34,1,AstonMartin,282.17,36.75,39.97,28.83,2023,23
42,17,Mercedes,315.76,29.87,32.48,33.93,2023,16
44,16,Alpine,307.71,28.37,43.18,23.17,2023,23
52,6,Alpine,288.86,32.84,43.44,30.3,2023,1
65,11,Alpine,300.41,29.48,35.78,26.85,2023,12
71,16,Alpine,305.5,35.24,31.63,21.33,2023,2
73,5,RedBull,291.8,27.59,36.81,28.91,2023,6
77,4,Mercedes,300.39,37.89,31.8,22.68,2023,16
81,12,McLaren,337.95,36.03,38.5,21.77,2023,13
91,13,Alpine,328.71,28.38,30.86,24.88,2023,4
94,7,RedBull,296.66,25.28,40.44,23.53,2023,6
96,9,AstonMartin,310.12,33.3,40.13,24.13,2023,19
97,1,AstonMartin,303.92,27.81,30.15,23.36,2023,24
102,8,McLaren,337.0,29.3,30.61,24.82,2023,23
103,12,McLaren,298.75,27.95,42.32,29.19,2023,18
116,5,RedBull,309.89,34.65,34.06,25.07,2023,8
127,6,Alpine,306.72,33.44,35.53,22.52,2023,8
128,15,Mercedes,296.84,30.96,36.52,23.38,2023,20
129,10,McLaren,292.2,28.88,32.2,29.03,2023,2
135,5,RedBull,318.11,38.61,37.53,28.89,2023,15
140,2,Ferrari,298.18,28.08,43.48,21.48,2023,14
141,6,Alpine,329.74,28.27,35.63,22.8,2023,18
