lap_id,driver_id,team,speed,sector_1,sector_2,sector_3,season,round
1,7,AstonMartin,287.68,30.65,32.65,20.45,2024,20
2,14,Ferrari,294.59,30.04,36.95,20.05,2024,19
3,13,RedBull,302.38,34.64,43.74,25.44,2023,1
4,3,Mercedes,328.85,31.56,38.06,31.26,2024,24
5,1,RedBull,287.88,27.48,32.46,28.61,2023,10
6,3,Mercedes,281.45,37.02,42.79,22.63,2024,10
7,17,Ferrari,334.69,29.02,33.87,34.44,2023,15
8,13,RedBull,330.73,28.24,35.88,32.35,2022,24
9,14,Ferrari,320.02,34.85,35.69,27.09,2022,17
10,20,Mercedes,320.01,35.54,36.98,33.43,2023,14
11,4,Ferrari,282.53,30.88,34.33,20.67,2022,24
12,20,Mercedes,339.37,31.61,30.93,20.41,2022,7
13,6,Ferrari,287.14,27.47,35.83,20.87,2022,12
14,11,Williams,341.62,37.01,42.23,34.56,2024,14
15,17,Ferrari,323.29,25.61,42.5,22.45,2023,13
16,8,McLaren,336.33,39.65,44.44,27.45,2025,6
17,5,Ferrari,292.77,39.88,34.44,20.2,2025,9
18,9,Mercedes,308.75,31.7,36.71,21.11,2024,22
19,16,AlphaTauri,280.13,39.4,41.02,27.53,2024,3
20,4,Ferrari,325.88,39.14,34.27,20.9,2023,5
21,2,Alpine,290.37,32.08,37.41,29.12,2022,15
22,3,Mercedes,334.88,39.43,33.66,24.96,2024,1
23,10,AstonMartin,334.87,29.97,36.18,27.5,2023,1
24,12,RedBull,287.81,38.8,37.24,21.39,2023,8
25,10,AstonMartin,340.62,33.25,40.26,22.15,2022,2
26,20,Mercedes,310.06,26.55,42.14,24.4,2023,13
27,9,Mercedes,313.49,27.27,35.74,25.0,2024,3
28,9,Mercedes,305.61,34.08,42.28,23.15,2022,17
29,16,AlphaTauri,335.15,28.79,35.04,33.71,2022,14
30,8,McLaren,283.91,30.0,38.92,29.96,2023,18
31,7,AstonMartin,340.84,25.97,35.89,27.42,2023,17
32,8,McLaren,300.7,38.42,38.76,32.73,2023,20
33,13,RedBull,294.5,39.87,35.54,33.7,2023,21
34,17,Ferrari,287.59,33.02,44.98,25.19,2023,24
35,20,Mercedes,302.77,38.45,42.22,22.87,2022,1
36,10,AstonMartin,294.72,35.36,43.69,23.62,2024,8
37,1,RedBull,286.1,32.12,42.55,30.48,2025,10
